	#	trade_efficiency	parent	trade_cost	avg_float_parent	avg_profit_price
71	72	0.5956140350877195	MAC-10 | Button Masher (Field-Tested)	3.8	0.165	18.19
62	63	0.5956140350877195	P250 | Cyber Shell (Field-Tested)	3.8	0.165	18.19
80	81	0.5158333333333334	Negev | dev_texture (Field-Tested)	4.0	0.165	18.19
30	31	0.487917737789203	XM1014 | XOXO (Field-Tested)	38.9	0.185	115.76
69	70	0.4251028806584356	MAC-10 | Button Masher (Minimal Wear)	8.100000000000001	0.075	34.629999999999995
84	85	0.4119999999999999	Negev | dev_texture (Battle-Scarred)	2.5	0.42	10.59
21	22	0.3683215130023638	Galil AR | Chromatic Aberration (Field-Tested)	42.3	0.185	115.76
60	61	0.3580392156862741	P250 | Cyber Shell (Minimal Wear)	8.5	0.075	34.629999999999995
28	29	0.3317440401505644	XM1014 | XOXO (Minimal Wear)	79.7	0.085	212.28
78	79	0.3117424242424238	Negev | dev_texture (Minimal Wear)	8.8	0.075	34.629999999999995
85	86	0.276	Negev | dev_texture (Battle-Scarred)	2.5	0.445	9.57
66	67	0.2607142857142854	P250 | Cyber Shell (Battle-Scarred)	2.8000000000000003	0.42	10.59
75	76	0.2607142857142854	MAC-10 | Button Masher (Battle-Scarred)	2.8000000000000003	0.42	10.59
19	20	0.2428571428571428	Galil AR | Chromatic Aberration (Minimal Wear)	85.39999999999999	0.085	212.28
63	64	0.2377192982456142	P250 | Cyber Shell (Field-Tested)	3.8	0.3750000000000001	14.11
72	73	0.2377192982456142	MAC-10 | Button Masher (Field-Tested)	3.8	0.3750000000000001	14.11
151	152	0.1831578947368422	Nova | Windblown (Battle-Scarred)	1.9	0.39	11.240000000000002
35	36	0.175875486381323	XM1014 | XOXO (Battle-Scarred)	25.7	0.445	60.440000000000005
81	82	0.1758333333333335	Negev | dev_texture (Field-Tested)	4.0	0.3750000000000001	14.11
142	143	0.161866666666667	Nova | Windblown (Factory New)	7.5	0.0699999999999999	43.57000000000001
76	77	0.1392857142857142	MAC-10 | Button Masher (Battle-Scarred)	2.8000000000000003	0.445	9.57
67	68	0.1392857142857142	P250 | Cyber Shell (Battle-Scarred)	2.8000000000000003	0.445	9.57
153	154	0.1316883116883118	UMP-45 | Oscillator (Factory New)	7.7	0.0699999999999999	43.57000000000001
70	71	0.1308641975308637	MAC-10 | Button Masher (Minimal Wear)	8.100000000000001	0.145	27.48
26	27	0.1276119402985074	Galil AR | Chromatic Aberration (Battle-Scarred)	26.8	0.445	60.440000000000005
118	119	0.1078260869565217	SG 553 | Heavy Metal (Field-Tested)	2.3000000000000003	0.175	12.740000000000002
90	91	0.1078260869565217	R8 Revolver | Junk Yard (Field-Tested)	2.3000000000000003	0.175	12.740000000000002
104	105	0.1078260869565217	CZ75-Auto | Circaetus (Field-Tested)	2.3000000000000003	0.175	12.740000000000002
77	78	0.105287356321839	Negev | dev_texture (Factory New)	14.5	0.0699999999999999	48.08
68	69	0.105287356321839	MAC-10 | Button Masher (Factory New)	14.5	0.0699999999999999	48.08
128	129	0.0892500000000002	M249 | O.S.I.P.R. (Factory New)	8.0	0.0699999999999999	43.57000000000001
152	153	0.0873684210526317	Nova | Windblown (Battle-Scarred)	1.9	0.445	10.330000000000002
61	62	0.0776470588235291	P250 | Cyber Shell (Minimal Wear)	8.5	0.145	27.48
100	101	0.0758024691358025	CZ75-Auto | Circaetus (Factory New)	8.100000000000001	0.0699999999999999	43.57000000000001
17	18	0.0754448398576512	MP9 | Food Chain (Battle-Scarred)	28.1	0.445	60.440000000000005
57	58	0.0704761904761905	Glock-18 | Clear Polymer (Battle-Scarred)	2.1	0.39	11.240000000000002
98	99	0.0704761904761905	R8 Revolver | Junk Yard (Battle-Scarred)	2.1	0.39	11.240000000000002
112	113	0.0704761904761905	CZ75-Auto | Circaetus (Battle-Scarred)	2.1	0.39	11.240000000000002
126	127	0.0704761904761905	SG 553 | Heavy Metal (Battle-Scarred)	2.1	0.39	11.240000000000002
162	163	0.0704761904761905	UMP-45 | Oscillator (Battle-Scarred)	2.1	0.39	11.240000000000002
105	106	0.0669565217391305	CZ75-Auto | Circaetus (Field-Tested)	2.3000000000000003	0.23	12.270000000000003
91	92	0.0669565217391305	R8 Revolver | Junk Yard (Field-Tested)	2.3000000000000003	0.23	12.270000000000003
119	120	0.0669565217391305	SG 553 | Heavy Metal (Field-Tested)	2.3000000000000003	0.23	12.270000000000003
49	50	0.0616666666666669	Glock-18 | Clear Polymer (Field-Tested)	2.4	0.175	12.740000000000002
157	158	0.0616666666666669	UMP-45 | Oscillator (Field-Tested)	2.4	0.175	12.740000000000002
101	102	0.0473170731707317	CZ75-Auto | Circaetus (Minimal Wear)	4.1	0.08	21.47
154	155	0.0473170731707317	UMP-45 | Oscillator (Minimal Wear)	4.1	0.08	21.47
79	80	0.0409090909090905	Negev | dev_texture (Minimal Wear)	8.8	0.145	27.48
160	161	0.028	UMP-45 | Oscillator (Well-Worn)	2.0	0.46	10.28
149	150	0.028	Nova | Windblown (Well-Worn)	2.0	0.46	10.28
92	93	0.0252173913043478	R8 Revolver | Junk Yard (Field-Tested)	2.3000000000000003	0.3750000000000001	11.790000000000004
106	107	0.0252173913043478	CZ75-Auto | Circaetus (Field-Tested)	2.3000000000000003	0.3750000000000001	11.790000000000004
120	121	0.0252173913043478	SG 553 | Heavy Metal (Field-Tested)	2.3000000000000003	0.3750000000000001	11.790000000000004
50	51	0.0225000000000004	Glock-18 | Clear Polymer (Field-Tested)	2.4	0.23	12.270000000000003
158	159	0.0225000000000004	UMP-45 | Oscillator (Field-Tested)	2.4	0.23	12.270000000000003
87	88	0.0223809523809521	R8 Revolver | Junk Yard (Minimal Wear)	4.2	0.08	21.47
140	141	0.0218181818181817	M249 | O.S.I.P.R. (Battle-Scarred)	2.2	0.39	11.240000000000002
155	156	0.0102439024390246	UMP-45 | Oscillator (Minimal Wear)	4.1	0.105	20.71
102	103	0.0102439024390246	CZ75-Auto | Circaetus (Minimal Wear)	4.1	0.105	20.71
86	87	0.0016091954022992	R8 Revolver | Junk Yard (Factory New)	8.7	0.0699999999999999	43.57000000000001
129	130	-0.0013953488372093	M249 | O.S.I.P.R. (Minimal Wear)	4.3	0.08	21.47
32	33	-0.0034843205574913	XM1014 | XOXO (Well-Worn)	28.700000000000003	0.48	57.2
59	60	-0.0045548654244307	P250 | Cyber Shell (Factory New)	16.1	0.0699999999999999	48.08
88	89	-0.0138095238095237	R8 Revolver | Junk Yard (Minimal Wear)	4.2	0.105	20.71
150	151	-0.014	Nova | Windblown (Well-Worn)	2.0	0.5	9.86
161	162	-0.014	UMP-45 | Oscillator (Well-Worn)	2.0	0.5	9.86
163	164	-0.016190476190476	UMP-45 | Oscillator (Battle-Scarred)	2.1	0.445	10.330000000000002
