	parent	trade_efficiency	profit	avg_float_parent	sales	trade_cost	weights	outcome_sum	outcome_prices	outcome_names
635	MAC-10 | Tornado (Battle-Scarred)	27.747	1129.3	0.445	1	40.7	1.0	1170.0	1170.0	P2000 | Grassland Leaves (Well-Worn)
634	MAC-10 | Tornado (Well-Worn)	21.5	1118.0	0.525	1	52.0	0.99	1170.0	1170.0	P2000 | Grassland Leaves (Well-Worn)
629	StatTrak™ Galil AR | Shattered (Well-Worn)	3.641	877.566	0.795	1	241.0	0.7771	1118.566	185.25,177.44,212.55,3899.025	StatTrak™ USP-S | Overgrowth (Battle-Scarred),StatTrak™ M4A4 | Zirka (Field-Tested),StatTrak™ M4A1-S | Bright Water (Field-Tested),StatTrak™ MAC-10 | Graven (Battle-Scarred)
630	StatTrak™ Dual Berettas | Black Limba (Well-Worn)	3.5839999999999996	874.566	0.795	1	244.0	0.7744	1118.566	185.25,177.44,212.55,3899.025	StatTrak™ USP-S | Overgrowth (Battle-Scarred),StatTrak™ M4A4 | Zirka (Field-Tested),StatTrak™ M4A1-S | Bright Water (Field-Tested),StatTrak™ MAC-10 | Graven (Battle-Scarred)
626	StatTrak™ SG 553 | Wave Spray (Well-Worn)	2.1959999999999997	768.566	0.795	1	350.0	0.6806	1118.566	185.25,177.44,212.55,3899.025	StatTrak™ USP-S | Overgrowth (Battle-Scarred),StatTrak™ M4A4 | Zirka (Field-Tested),StatTrak™ M4A1-S | Bright Water (Field-Tested),StatTrak™ MAC-10 | Graven (Battle-Scarred)
631	StatTrak™ G3SG1 | Demeter (Well-Worn)	1.796	718.566	0.795	1	400.0	0.6363	1118.566	185.25,177.44,212.55,3899.025	StatTrak™ USP-S | Overgrowth (Battle-Scarred),StatTrak™ M4A4 | Zirka (Field-Tested),StatTrak™ M4A1-S | Bright Water (Field-Tested),StatTrak™ MAC-10 | Graven (Battle-Scarred)
535	StatTrak™ SCAR-20 | Cardiac (Well-Worn)	0.9309999999999999	335.224	0.615	1	360.0	0.2968	695.2239999999999	1299.675,90.772	StatTrak™ AK-47 | Wasteland Rebel (Well-Worn),StatTrak™ P2000 | Fire Elemental (Field-Tested)
18	StatTrak™ M4A4 | Cyber Security (Minimal Wear)	0.915	741.6	0.085	1	810.6	0.6567	1552.2	2815.8,288.6	StatTrak™ M4A1-S | Printstream (Factory New),StatTrak™ Glock-18 | Neo-Noir (Minimal Wear)
494	StatTrak™ P90 | Shapewood (Minimal Wear)	0.7979999999999999	387.8	0.085	1	485.8	0.3434	873.6	1521.487,225.713	StatTrak™ M4A4 | Royal Paladin (Factory New),StatTrak™ R8 Revolver | Fade (Factory New)
491	StatTrak™ G3SG1 | The Executioner (Field-Tested)	0.774	115.844	0.175	1	149.6	0.1026	265.444	305.175,225.713	StatTrak™ M4A4 | Royal Paladin (Minimal Wear),StatTrak™ R8 Revolver | Fade (Factory New)
23	StatTrak™ Five-SeveN | Fairy Tale (Minimal Wear)	0.746	663.4	0.085	1	888.8	0.5874	1552.2	2815.8,288.6	StatTrak™ M4A1-S | Printstream (Factory New),StatTrak™ Glock-18 | Neo-Noir (Minimal Wear)
66	StatTrak™ M4A4 | Tooth Fairy (Minimal Wear)	0.631	302.92	0.085	1	480.0	0.2682	782.92	1169.025,396.815	StatTrak™ Desert Eagle | Printstream (Factory New),StatTrak™ AK-47 | Legion of Anubis (Factory New)
553	StatTrak™ Glock-18 | Steel Disruption (Factory New)	0.625	176.803	0.01	1	282.9	0.1566	459.70300000000003	643.5,779.512,297.823,117.975	StatTrak™ AUG | Bengal Tiger (Factory New),StatTrak™ Nova | Bloomstick (Factory New),StatTrak™ AWP | Corticera (Factory New),StatTrak™ P2000 | Corticera (Factory New)
68	StatTrak™ M4A4 | Tooth Fairy (Field-Tested)	0.5820000000000001	166.422	0.185	1	285.9	0.1474	452.32199999999995	681.408,223.236	StatTrak™ Desert Eagle | Printstream (Minimal Wear),StatTrak™ AK-47 | Legion of Anubis (Minimal Wear)
605	StatTrak™ CZ75-Auto | Crimson Web (Well-Worn)	0.57	29.198	0.795	1	51.2	0.0259	80.398	39.0,184.158,35.061,63.375	StatTrak™ Desert Eagle | Heirloom (Battle-Scarred),StatTrak™ Tec-9 | Titanium Bit (Field-Tested),StatTrak™ Five-SeveN | Copper Galaxy (Field-Tested),StatTrak™ CZ75-Auto | Tread Plate (Field-Tested)
26	StatTrak™ USP-S | Monster Mashup (Minimal Wear)	0.568	562.2	0.085	1	990.0	0.4978	1552.2	2815.8,288.6	StatTrak™ M4A1-S | Printstream (Factory New),StatTrak™ Glock-18 | Neo-Noir (Minimal Wear)
146	StatTrak™ UMP-45 | Plastique (Field-Tested)	0.564	21.416	0.175	1	38.0	0.019	59.416000000000004	29.133,96.466,52.65	StatTrak™ MP9 | Hydra (Field-Tested),StatTrak™ AUG | Death by Puppy (Factory New),StatTrak™ P90 | Nostalgia (Minimal Wear)
19	StatTrak™ M4A4 | Cyber Security (Field-Tested)	0.557	216.012	0.185	1	388.0	0.1913	604.012	1101.263,106.763	StatTrak™ M4A1-S | Printstream (Minimal Wear),StatTrak™ Glock-18 | Neo-Noir (Field-Tested)
556	StatTrak™ Five-SeveN | Fowl Play (Field-Tested)	0.556	85.60600000000001	0.16	1	154.0	0.0758	239.606	198.412,280.8	StatTrak™ P90 | Asiimov (Minimal Wear),StatTrak™ M4A1-S | Cyrex (Minimal Wear)
229	StatTrak™ G3SG1 | Scavenger (Minimal Wear)	0.545	29.645	0.085	1	54.4	0.0263	84.045	80.633,84.728,86.775	StatTrak™ MP5-SD | Phosphor (Factory New),StatTrak™ UMP-45 | Momentum (Factory New),StatTrak™ Desert Eagle | Mecha Industries (Factory New)
100	StatTrak™ MAG-7 | Justice (Minimal Wear)	0.536	226.226	0.08	1	422.1	0.2003	648.326	282.75,1013.903	StatTrak™ Glock-18 | Bullet Queen (Minimal Wear),StatTrak™ M4A1-S | Player Two (Factory New)
568	StatTrak™ P2000 | Ivory (Field-Tested)	0.5329999999999999	3.73	0.175	1	7.0	0.0033	10.73	4.056,8.248,15.405,15.21	StatTrak™ CZ75-Auto | Tigris (Field-Tested),StatTrak™ PP-Bizon | Osiris (Minimal Wear),StatTrak™ P250 | Supernova (Factory New),StatTrak™ Nova | Koi (Factory New)
555	StatTrak™ Five-SeveN | Fowl Play (Minimal Wear)	0.517	175.225	0.075	1	338.6	0.1552	513.825	701.025,326.625	StatTrak™ P90 | Asiimov (Factory New),StatTrak™ M4A1-S | Cyrex (Factory New)
396	StatTrak™ P250 | Ripple (Field-Tested)	0.516	3.764	0.155	1	7.3	0.0033	11.064	6.24,11.992,14.82,10.676,11.593	StatTrak™ UMP-45 | Scaffold (Field-Tested),StatTrak™ Galil AR | Crimson Tsunami (Minimal Wear),StatTrak™ M249 | Emerald Poison Dart (Factory New),StatTrak™ XM1014 | Seasons (Minimal Wear),StatTrak™ MAC-10 | Last Dive (Minimal Wear)
389	StatTrak™ MP7 | Akoben (Field-Tested)	0.516	3.764	0.155	1	7.3	0.0033	11.064	6.24,11.992,14.82,10.676,11.593	StatTrak™ UMP-45 | Scaffold (Field-Tested),StatTrak™ Galil AR | Crimson Tsunami (Minimal Wear),StatTrak™ M249 | Emerald Poison Dart (Factory New),StatTrak™ XM1014 | Seasons (Minimal Wear),StatTrak™ MAC-10 | Last Dive (Minimal Wear)
167	StatTrak™ XM1014 | Incinegator (Field-Tested)	0.507	71.039	0.185	1	140.0	0.0629	211.03900000000002	359.775,62.302	StatTrak™ M4A4 | The Emperor (Minimal Wear),StatTrak™ Five-SeveN | Angry Mob (Minimal Wear)
455	StatTrak™ MAC-10 | Carnivore (Field-Tested)	0.491	3.8819999999999997	0.17	1	7.9	0.0034	11.782	23.302,6.62,4.124,12.188,12.675	StatTrak™ AWP | Phobos (Factory New),StatTrak™ R8 Revolver | Reboot (Field-Tested),StatTrak™ Sawed-Off | Limelight (Field-Tested),StatTrak™ AUG | Aristocrat (Minimal Wear),StatTrak™ P90 | Chopper (Minimal Wear)
449	StatTrak™ PP-Bizon | Harvester (Field-Tested)	0.491	3.8819999999999997	0.17	1	7.9	0.0034	11.782	23.302,6.62,4.124,12.188,12.675	StatTrak™ AWP | Phobos (Factory New),StatTrak™ R8 Revolver | Reboot (Field-Tested),StatTrak™ Sawed-Off | Limelight (Field-Tested),StatTrak™ AUG | Aristocrat (Minimal Wear),StatTrak™ P90 | Chopper (Minimal Wear)
54	StatTrak™ XM1014 | Entombed (Field-Tested)	0.488	148.322	0.185	1	304.0	0.1313	452.32199999999995	681.408,223.236	StatTrak™ Desert Eagle | Printstream (Minimal Wear),StatTrak™ AK-47 | Legion of Anubis (Minimal Wear)
42	StatTrak™ Nova | Clear Polymer (Battle-Scarred)	0.484	13.122	0.385	1	27.1	0.0116	40.222	37.83,42.802,40.034	StatTrak™ M4A4 | Cyber Security (Field-Tested),StatTrak™ Five-SeveN | Fairy Tale (Field-Tested),StatTrak™ USP-S | Monster Mashup (Field-Tested)
506	StatTrak™ SCAR-20 | Green Marine (Minimal Wear)	0.48200000000000004	13.635	0.075	1	28.3	0.0121	41.935	63.268,47.668,20.436,36.367	StatTrak™ Galil AR | Stone Cold (Factory New),StatTrak™ P250 | Wingshot (Factory New),StatTrak™ M249 | Nebula Crusader (Minimal Wear),StatTrak™ MP7 | Special Delivery (Factory New)
46	StatTrak™ UMP-45 | Gold Bismuth (Field-Tested)	0.48	19.153	0.21	1	39.9	0.017	59.053000000000004	37.83,42.802,96.525	StatTrak™ M4A4 | Cyber Security (Field-Tested),StatTrak™ Five-SeveN | Fairy Tale (Field-Tested),StatTrak™ USP-S | Monster Mashup (Minimal Wear)
621	P90 | Scorched (Battle-Scarred)	0.478	14.355	0.445	1	30.0	0.0127	44.355	17.803,73.125,17.55,15.795,97.5	Glock-18 | Groundwater (Well-Worn),SSG 08 | Tropical Storm (Well-Worn),Negev | CaliCamo (Field-Tested),SG 553 | Gator Mesh (Field-Tested),MP7 | Orange Peel (Well-Worn)
470	StatTrak™ Glock-18 | Royal Legion (Well-Worn)	0.473	39.885999999999996	0.59	1	84.3	0.0353	124.186	227.175,64.672,80.71	StatTrak™ Desert Eagle | Kumicho Dragon (Well-Worn),StatTrak™ AWP | Elite Build (Battle-Scarred),StatTrak™ Nova | Hyper Beast (Field-Tested)
27	StatTrak™ USP-S | Monster Mashup (Field-Tested)	0.47100000000000003	193.412	0.185	1	410.6	0.1713	604.012	1101.263,106.763	StatTrak™ M4A1-S | Printstream (Minimal Wear),StatTrak™ Glock-18 | Neo-Noir (Field-Tested)
